"Date","New_Loc","STSR","Depth","SST","Trip"
2014-12-07,"Joubertsdam",0,8.3,12.3,1
2014-12-07,"Joubertsdam",0,8.3,12.3,2
2014-12-07,"Joubertsdam",0,8.5,11.9,3
2014-12-08,"Joubertsdam",0,10.8,11.1,1
2014-12-08,"Joubertsdam",0,10.8,11.1,2
2014-12-09,"Joubertsdam",0,9.8,12.2,1
2014-12-09,"Joubertsdam",0,11.8,12.2,2
2014-12-10,"Joubertsdam",0,7.5,14.2,1
2014-12-11,"Joubertsdam",0,10.5,13.3,1
2014-12-11,"Joubertsdam",0,8.1,13.9,2
2014-12-12,"Joubertsdam",0,10.5,14.6,1
2014-12-13,"Joubertsdam",0,11.5,15.3,1
2014-12-13,"Joubertsdam",0,10,15.3,2
2014-12-14,"Joubertsdam",0,10,16,1
2014-12-15,"Joubertsdam",0,10.5,16.7,1
2014-12-15,"Joubertsdam",0,10.3,16.7,2
2014-12-16,"Joubertsdam",0,10,16.2,1
2014-12-16,"Joubertsdam",0,10,16.2,2
2014-12-17,"Joubertsdam",0,7.5,15.5,1
2014-12-17,"Joubertsdam",0,8.6,14.8,2
2014-12-18,"Joubertsdam",0,11.4,15.6,1
2014-12-18,"Joubertsdam",0,10.5,16.3,2
2014-12-19,"Joubertsdam",0,9.3,17,1
2014-12-19,"Joubertsdam",0,10.5,17,2
2014-12-19,"Joubertsdam",1,10.9,17.6,3
2014-12-20,"Joubertsdam",0,10,17.9,1
2014-12-20,"Joubertsdam",1,11.1,17.7,2
2014-12-21,"Joubertsdam",0,11,18,1
2014-12-22,"Joubertsdam",0,7.5,18,1
2014-12-22,"Joubertsdam",1,7.8,18,2
2014-12-22,"Joubertsdam",0,7.5,18,3
2014-12-23,"Joubertsdam",0,8.3,19.2,1
2014-12-23,"Joubertsdam",0,8.3,19.2,2
2014-12-23,"Joubertsdam",0,7.8,19.7,3
2014-12-24,"Joubertsdam",0,9,20,1
2014-12-24,"Joubertsdam",0,9,19.9,2
2014-12-24,"Joubertsdam",0,9,20,3
2014-12-27,"Joubertsdam",1,8.8,19.7,1
2014-12-27,"Joubertsdam",0,8.8,19.7,2
2014-12-27,"Joubertsdam",0,9.1,19.4,3
2014-12-28,"Joubertsdam",1,10.2,19.3,1
2014-12-28,"Joubertsdam",0,10.3,19,2
2014-12-28,"Joubertsdam",1,10.3,19.3,3
2014-12-29,"Joubertsdam",0,7.8,18.5,1
2014-12-29,"Joubertsdam",1,9.8,19.1,2
2014-12-29,"Joubertsdam",0,9.8,17.2,3
2014-12-30,"Joubertsdam",0,12,16,1
2014-12-30,"Joubertsdam",0,11.6,14,2
2014-12-30,"Joubertsdam",0,12,16,3
2014-12-31,"Joubertsdam",0,11,13.5,1
2014-12-31,"Joubertsdam",0,11.5,13.5,2
2014-12-31,"Joubertsdam",0,11.1,13,3
2015-01-02,"Joubertsdam",0,11.6,15.7,1
2015-01-02,"Joubertsdam",0,11.6,15.6,2
2015-01-02,"Joubertsdam",0,10,13.7,3
2015-01-03,"Joubertsdam",0,11.2,16.1,1
2015-01-03,"Joubertsdam",0,11.2,16.1,2
2015-01-03,"Joubertsdam",0,10.3,15.9,3
2015-01-04,"Joubertsdam",0,10,15.6,1
2015-01-04,"Joubertsdam",0,8.7,16,2
2015-01-04,"Joubertsdam",0,8.7,16,3
2015-01-06,"Joubertsdam",0,8,19.4,1
2015-01-06,"Joubertsdam",0,7.8,20.2,2
2015-01-06,"Joubertsdam",0,7.8,20.2,3
2015-01-07,"Joubertsdam",1,9.8,19.6,1
2015-01-07,"Joubertsdam",0,9.8,19.6,2
2015-01-07,"Joubertsdam",0,9.8,19.6,3
2015-01-08,"Joubertsdam",1,8.4,19.7,1
2015-01-08,"Joubertsdam",1,9.5,20,2
2015-01-08,"Joubertsdam",0,9.5,20,3
2015-01-09,"Joubertsdam",0,9.8,14.3,1
2015-01-09,"Joubertsdam",0,10.8,19.4,2
2015-01-10,"Joubertsdam",0,11.3,18.4,1
2015-01-10,"Joubertsdam",0,11.3,18.4,2
2015-01-11,"Joubertsdam",0,10.3,17.7,1
2015-01-11,"Joubertsdam",0,10.3,17.7,2
2015-01-12,"Joubertsdam",0,11,18.1,1
2015-01-12,"Joubertsdam",0,10.1,18.1,2
2015-01-13,"Joubertsdam",0,8.7,18.6,1
2015-01-14,"Joubertsdam",0,9,12.6,1
2015-01-15,"Joubertsdam",0,9.2,11.9,1
2015-01-17,"Joubertsdam",0,10.7,15.7,1
2015-01-17,"Joubertsdam",0,11,16.5,2
2015-01-18,"Joubertsdam",0,11.5,16.8,1
2015-01-18,"Joubertsdam",1,11.7,16,2
2015-01-20,"Joubertsdam",1,8.1,16.8,1
2015-01-20,"Joubertsdam",0,8.1,16.8,2
2015-01-21,"Joubertsdam",0,6.5,14.3,1
2015-01-21,"Joubertsdam",0,8.1,14,2
2015-01-22,"Joubertsdam",0,8.8,12.3,1
2015-01-22,"Joubertsdam",0,8.8,12.3,2
2015-01-23,"Joubertsdam",0,12,13.5,1
2015-01-23,"Joubertsdam",0,12,13.5,2
2015-01-24,"Joubertsdam",0,10.1,12.9,1
2015-01-24,"Joubertsdam",0,10.1,12.9,2
2015-01-25,"Joubertsdam",0,10,15.3,1
2015-01-26,"Joubertsdam",0,9.9,15.9,1
2015-01-26,"Joubertsdam",0,9.9,15.9,2
2015-01-27,"Joubertsdam",1,11.2,16.2,1
2015-01-28,"Joubertsdam",0,12.5,15.6,1
2015-01-29,"Joubertsdam",0,10.6,14,1
2015-01-29,"Joubertsdam",0,10.6,14,2
2015-01-29,"Joubertsdam",0,10.6,14.2,3
2015-01-31,"Joubertsdam",0,12,16,1
2015-02-01,"Joubertsdam",0,10.5,16.7,1
2015-02-01,"Joubertsdam",0,10.5,16.5,2
2015-02-02,"Joubertsdam",0,10.8,16,1
2015-02-03,"Joubertsdam",0,7.6,16.6,1
2015-02-04,"Joubertsdam",0,9.5,16.1,1
2015-02-05,"Joubertsdam",0,12,17.2,1
2015-02-06,"Joubertsdam",0,10,18,1
2015-02-06,"Joubertsdam",1,8.9,18.1,2
